Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	1
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	2	0	0
Feb 24, 2020	0	0	0	4
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	0	0	0
Mar 02, 2020	0	1	1	6
Mar 03, 2020	0	0	0	0
Mar 04, 2020	0	0	0	1
Mar 05, 2020	0	0	0	0
Mar 06, 2020	0	0	0	0
Mar 07, 2020	0	0	0	0
Mar 08, 2020	0	0	0	0
Mar 09, 2020	0	0	0	0
Mar 10, 2020	0	0	0	2
Mar 11, 2020	0	0	0	2
Mar 12, 2020	0	0	5	0
Mar 13, 2020	0	0	0	1
Mar 14, 2020	0	0	0	0
Mar 15, 2020	0	0	0	0
Mar 16, 2020	0	1	0	0
Mar 17, 2020	0	0	0	16
Mar 18, 2020	0	0	1	3
Mar 19, 2020	0	0	0	0
Mar 20, 2020	1	0	0	0
Mar 21, 2020	1	0	0	41
Mar 22, 2020	1	0	0	30
Mar 23, 2020	1	0	0	0
Mar 24, 2020	1	1	0	0
Mar 25, 2020	1	0	0	50
Mar 26, 2020	1	0	0	0
Mar 27, 2020	1	0	0	0
Mar 28, 2020	1	0	0	72
Mar 29, 2020	1	0	0	0
Mar 30, 2020	1	0	0	99
Mar 31, 2020	1	0	0	0
Apr 01, 2020	1	0	0	234
Apr 02, 2020	1	0	0	0
Apr 03, 2020	1	0	0	0
Apr 04, 2020	1	0	0	483
Apr 05, 2020	1	0	0	1319
Apr 06, 2020	2	0	0	112
Apr 07, 2020	2	0	0	285
Apr 08, 2020	2	0	0	192
Apr 09, 2020	2	1	0	126
Apr 10, 2020	2	0	0	101
Apr 11, 2020	2	0	0	58
Apr 12, 2020	2	0	0	161
Apr 13, 2020	2	0	0	95
Apr 14, 2020	2	0	0	99
Apr 15, 2020	2	0	0	49
Apr 16, 2020	7	1	0	85
Apr 17, 2020	7	0	0	347
Apr 18, 2020	7	0	0	45
Apr 19, 2020	7	0	0	45
Apr 20, 2020	7	0	0	411
Apr 21, 2020	7	0	0	230
Apr 22, 2020	8	0	0	119
Apr 23, 2020	8	0	0	79
Apr 24, 2020	8	0	0	236
Apr 25, 2020	8	0	0	165
Apr 26, 2020	8	0	0	41
Apr 27, 2020	8	0	0	48
Apr 28, 2020	8	0	0	33
Apr 29, 2020	8	0	0	45
Apr 30, 2020	8	0	0	31
May 01, 2020	8	0	0	45
May 02, 2020	8	0	0	23
May 03, 2020	8	0	0	45
May 04, 2020	2	0	0	28
May 05, 2020	0	0	0	93
May 06, 2020	0	0	0	50
May 07, 2020	0	0	0	42
May 08, 2020	0	0	0	55
May 09, 2020	0	0	0	29
May 10, 2020	0	0	0	16
May 11, 2020	0	0	0	44
May 12, 2020	0	0	0	45
May 13, 2020	0	0	0	20
May 14, 2020	0	0	0	37
May 15, 2020	0	0	0	29
May 16, 2020	0	0	0	4
May 17, 2020	0	0	0	32
May 18, 2020	0	0	1	19
May 19, 2020	0	0	0	34
May 20, 2020	0	0	1	25
May 21, 2020	0	0	0	9
May 22, 2020	0	0	1	19
May 23, 2020	0	0	0	10
May 24, 2020	0	0	0	23
May 25, 2020	0	0	0	21
May 26, 2020	0	0	0	15
May 27, 2020	0	0	0	8
May 28, 2020	0	0	0	9
May 29, 2020	0	0	0	26
May 30, 2020	0	0	0	5
May 31, 2020	0	0	0	5
Jun 01, 2020	0	0	0	5
Jun 02, 2020	0	0	0	16
Jun 03, 2020	0	0	0	27
Jun 04, 2020	0	0	0	16
Jun 05, 2020	0	0	0	10
Jun 06, 2020	0	0	0	12
Jun 07, 2020	0	0	0	2
Jun 08, 2020	0	0	0	13
Jun 09, 2020	0	0	0	24
Jun 10, 2020	0	0	0	116
Jun 11, 2020	0	0	0	168
Jun 12, 2020	0	0	5	19
Jun 13, 2020	0	0	0	27
Jun 14, 2020	0	0	0	12
Jun 15, 2020	0	0	3	7
Jun 16, 2020	0	0	8	5
Jun 17, 2020	0	0	3	7
Jun 18, 2020	0	0	1	5
Jun 19, 2020	0	0	1	8
Jun 20, 2020	0	0	7	9
Jun 21, 2020	0	0	23	7
Jun 22, 2020	1	0	0	14
Jun 23, 2020	1	0	1	8
Jun 24, 2020	2	0	0	105
Jun 25, 2020	2	0	0	16
Jun 26, 2020	3	0	9	24
Jun 27, 2020	3	0	19	17
Jun 28, 2020	3	0	19	22
Jun 29, 2020	3	0	1	36
Jun 30, 2020	3	0	3	35
Jul 01, 2020	3	0	39	36
Jul 02, 2020	3	0	10	222
Jul 03, 2020	3	0	25	41
Jul 04, 2020	3	0	0	45
Jul 05, 2020	3	0	26	30
Jul 06, 2020	3	0	0	41
Jul 07, 2020	3	1	0	39
Jul 08, 2020	3	0	55	97
Jul 09, 2020	3	0	2	52
Jul 10, 2020	3	0	0	110
Jul 11, 2020	3	0	0	4
Jul 12, 2020	3	0	52	46
Jul 13, 2020	3	0	10	65
Jul 14, 2020	3	0	14	86
Jul 15, 2020	3	0	0	118
Jul 16, 2020	3	0	14	82
Jul 17, 2020	8	1	0	48
Jul 18, 2020	8	0	0	115
Jul 19, 2020	8	0	40	176
Jul 20, 2020	11	0	0	113
Jul 21, 2020	19	0	18	185
Jul 22, 2020	22	0	0	168
Jul 23, 2020	20	0	5	168
Jul 24, 2020	21	0	29	84
Jul 25, 2020	28	0	0	189
Jul 26, 2020	51	0	6	206
Jul 27, 2020	51	0	0	113
Jul 28, 2020	52	0	1	180
Jul 29, 2020	50	0	11	138
Jul 30, 2020	50	0	0	216
Jul 31, 2020	59	0	8	178
Aug 01, 2020	55	0	9	213
Aug 02, 2020	74	0	0	201
Aug 03, 2020	75	0	9	173
Aug 04, 2020	78	0	6	169
Aug 05, 2020	107	0	0	175
Aug 06, 2020	107	0	4	202
Aug 07, 2020	132	0	1	241
Aug 08, 2020	132	0	0	315
Aug 09, 2020	158	0	2	271
Aug 10, 2020	158	0	1	269
Aug 11, 2020	140	0	0	383
Aug 12, 2020	188	0	5	233
Aug 13, 2020	190	0	0	352
Aug 14, 2020	190	0	0	286
Aug 15, 2020	190	0	0	437
Aug 16, 2020	210	0	1	439
Aug 17, 2020	220	0	0	400
Aug 18, 2020	234	0	10	322
Aug 19, 2020	234	0	0	2472
Aug 20, 2020	159	0	4	600
Aug 21, 2020	159	0	0	297
Aug 22, 2020	159	0	1	474
Aug 23, 2020	165	0	0	371
Aug 24, 2020	165	0	0	218
Aug 25, 2020	183	0	2	295
Aug 26, 2020	183	0	0	279
Aug 27, 2020	188	0	5	278
Aug 28, 2020	216	0	0	221
Aug 29, 2020	216	0	1	258
Aug 30, 2020	222	0	0	247
